animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
aquagym,2020-07-22,2020-07-22,cercle des nageurs d'antibes,plage du ponteil,2020,7,22,2020,7,22,2020-7,0
méditation,2020-07-22,2020-07-22,meditbliss,parc exflora,2020,7,22,2020,7,22,2020-7,0
biodonza,2020-07-23,2020-07-23,association bel hêtre,stade nautique d'antibes,2020,7,23,2020,7,23,2020-7,0
nocturne de pétanque,2020-07-24,2020-07-24,as fontonne boule,clos borriglion,2020,7,24,2020,7,24,2020-7,0
salsa batchata,2020-07-24,2020-07-24,somos latinos,place mariejol,2020,7,24,2020,7,24,2020-7,0
aquagym,2020-07-29,2020-07-29,cercle des nageurs d'antibes,plage du ponteil,2020,7,29,2020,7,29,2020-7,0
méditation,2020-07-29,2020-07-29,meditbliss,parc exflora,2020,7,29,2020,7,29,2020-7,0
biodonza,2020-07-30,2020-07-30,association bel hêtre,stade nautique d'antibes,2020,7,30,2020,7,30,2020-7,0
salsa batchata,2020-07-30,2020-07-30,somos latinos,place mariejol,2020,7,30,2020,7,30,2020-7,0
nocturne de pétanque,2020-07-30,2020-07-30,as fontonne boule,clos borriglion,2020,7,30,2020,7,30,2020-7,0
marathon estivale féminin de boules,2020-08-02,2020-08-02,as fontonne boule,clos borriglion,2020,8,2,2020,8,2,2020-8,0
biodonza,2020-08-04,2020-08-04,association bel hêtre,stade nautique d'antibes,2020,8,4,2020,8,4,2020-8,0
aquagym,2020-08-05,2020-08-05,cercle des nageurs d'antibes,plage du ponteil,2020,8,5,2020,8,5,2020-8,0
zumba,2020-08-06,2020-08-06,sport et culture 06,pinède gould,2020,8,6,2020,8,6,2020-8,0
nocturne de pétanque,2020-08-07,2020-08-07,as fontonne boule,clos borriglion,2020,8,7,2020,8,7,2020-8,0
salsa batchata,2020-08-07,2020-08-07,somos latinos,place mariejol,2020,8,7,2020,8,7,2020-8,0
biodonza,2020-08-11,2020-08-11,association bel hêtre,stade nautique d'antibes,2020,8,11,2020,8,11,2020-8,0
aquagym,2020-08-12,2020-08-12,cercle des nageurs d'antibes,plage du ponteil,2020,8,12,2020,8,12,2020-8,0
salsa batchata,2020-08-14,2020-08-14,somos latinos,place mariejol,2020,8,14,2020,8,14,2020-8,0
nocturne de pétanque,2020-08-14,2020-08-14,as fontonne boule,clos borriglion,2020,8,14,2020,8,14,2020-8,0
biodonza,2020-08-18,2020-08-18,association bel hêtre,stade nautique d'antibes,2020,8,18,2020,8,18,2020-8,0
aquagym,2020-08-19,2020-08-19,cercle des nageurs d'antibes,plage du ponteil,2020,8,19,2020,8,19,2020-8,0
salsa batchata,2020-08-21,2020-08-21,somos latinos,place mariejol,2020,8,21,2020,8,21,2020-8,0
32ème challenge marc grilli,2020-08-21,2020-08-21,belles rives ski nautique club,ponton du belles rives,2020,8,21,2020,8,21,2020-8,0
nocturne de pétanque,2020-08-21,2020-08-21,as fontonne boule,clos borriglion,2020,8,21,2020,8,21,2020-8,0
biodonza,2020-08-25,2020-08-25,association bel hêtre,stade nautique d'antibes,2020,8,25,2020,8,25,2020-8,0
aquagym,2020-08-26,2020-08-26,cercle des nageurs d'antibes,plage du ponteil,2020,8,26,2020,8,26,2020-8,0
salsa batchata,2020-08-28,2020-08-28,somos latinos,place mariejol,2020,8,28,2020,8,28,2020-8,0
nocturne de pétanque,2020-08-28,2020-08-28,as fontonne boule,clos borriglion,2020,8,28,2020,8,28,2020-8,0
zumba,2020-08-28,2020-08-28,sport et culture 06,pinède gould,2020,8,28,2020,8,28,2020-8,0
concours maëva podair,2020-08-30,2020-08-30,les amis de la pinède,petite pinède,2020,8,30,2020,8,30,2020-8,0
l'eau pour rayonner,2020-09-05,2020-09-05,direction des sports de la ville d'antibes,stade nautique d'antibes,2020,9,5,2020,9,5,2020-9,0
fête de la jeunesse,2020-09-06,2020-09-06,direction des sports de la ville d'antibes,stade du fort carré,2020,9,6,2020,9,6,2020-9,0
jeux de sophia - tir à l'arc,2020-09-07,2020-10-06,sophia club entreprises,zi des 3 moulins,2020,9,7,2020,10,6,2020-9,29
prix roger borriglion,2020-09-12,2020-09-12,as fontonne boule,clos borriglion,2020,9,12,2020,9,12,2020-9,0
tournoi u12 et u13,2020-09-12,2020-09-12,as fontonne football,stade docteur léger,2020,9,12,2020,9,12,2020-9,0
tournoi open de tennis,2020-09-12,2020-09-27,asso tennis,stade des semboules,2020,9,12,2020,9,27,2020-9,15
tournoi u10 et u11,2020-09-19,2020-09-19,as fontonne football,stade docteur léger,2020,9,19,2020,9,19,2020-9,0
prix eric pauget,2020-09-29,2020-09-29,les amis de la pinède,petite pinède,2020,9,29,2020,9,29,2020-9,0
prix jean aude,2020-10-03,2020-10-03,as fontonne boule,clos borriglion,2020,10,3,2020,10,3,2020-10,0
régate habitable - coupe du club,2020-10-03,2020-10-04,société des régates d'antibes,mer d'antibes à menton,2020,10,3,2020,10,4,2020-10,1
régate lasers,2020-10-03,2020-10-04,société des régates d'antibes,stade nautique d'antibes,2020,10,3,2020,10,4,2020-10,1
régate habitable - coupe napoléon,2020-10-08,2020-10-11,société des régates d'antibes,mer d'antibes à elbe,2020,10,8,2020,10,11,2020-10,3
tournoi 8/10 ans orange,2020-10-11,2020-10-11,tennis club d'antibes,tennis jules grec,2020,10,11,2020,10,11,2020-10,0
semaine olympique,2021-02-01,2021-02-06,direction jeunesse,ecoles primaires d'antibes,2021,2,1,2021,2,6,2021-2,5
cdsa natation,2021-02-13,2021-02-13,comité dépatemental,stade nautique d'antibes,2021,2,13,2021,2,13,2021-2,0
stage préparatoire à la coupe de printemps,2021-03-02,2021-03-06,société des régates d'antibes,base nautique de la salis,2021,3,2,2021,3,6,2021-3,4
découverte / initiation pétanque,2021-05-22,2021-05-22,les amis de la pinède,pinède de juan-les-pins,2021,5,22,2021,5,22,2021-5,0
concours d'agility,2021-05-23,2021-05-23,amicale du chien de travail d'antibes,zi des 3 moulins,2021,5,23,2021,5,23,2021-5,0
mercantour vélo - tour,2021-05-24,2021-05-25,mercantour vélo,stade de la fontonne,2021,5,24,2021,5,25,2021-5,1
report du 58ème challenge denape,2021-06-05,2021-06-06,compagnie d'arc d'antibes,zi des 3 moulins,2021,6,5,2021,6,6,2021-6,1
tournoi du club de tennis,2021-06-09,2021-06-23,asso tennis,stade des semboules,2021,6,9,2021,6,23,2021-6,14
tournoi de 3 x 3 et de 5 x 5 de basket,2021-06-12,2021-06-13,oajlp basket,stade foch,2021,6,12,2021,6,13,2021-6,1
ski nautique découverte summer pop's art,2021-06-19,2021-06-19,belles rives ski nautique club,ponton du belles rives,2021,6,19,2021,6,19,2021-6,0
l'eau pour rayonner,2021-06-19,2021-06-19,autisme,stade nautique d'antibes,2021,6,19,2021,6,19,2021-6,0
70ème grand prix d'antibes,2021-06-20,2021-06-20,olympique cyclo club d'antibes,gréolières,2021,6,20,2021,6,20,2021-6,0
journée olympique,2021-06-22,2021-06-22,cdos 06,stade du fort carré,2021,6,22,2021,6,22,2021-6,0
tournée handivoile 06,2021-06-24,2021-06-24,département des alpes-maritimes,base nautique de la salis,2021,6,24,2021,6,24,2021-6,0
ski nautique découverte summer pop's art,2021-06-26,2021-06-26,belles rives ski nautique club,ponton du belles rives,2021,6,26,2021,6,26,2021-6,0
fêtes de la saint pierre,2021-06-26,2021-06-27,direction animation et activités culturelles,base nautique de la salis,2021,6,26,2021,6,27,2021-6,1
tournoi de tennis ballon,2021-06-28,2021-07-04,jeunesse sportive de juan-les-pins,stade gilbert auvergne,2021,6,28,2021,7,4,2021-6,6
tournoi régional de tennis,2021-07-01,2021-07-14,tennis club d'antibes,tennis jules grec,2021,7,1,2021,7,14,2021-7,13
nocturne estivale pétanque,2021-07-02,2021-07-02,as fontonne boule,clos borriglion,2021,7,2,2021,7,2,2021-7,0
tournoi basketball 3 x 3,2021-07-02,2021-07-03,sharks d'antibes,pré des pêcheurs,2021,7,2,2021,7,3,2021-7,1
ski nautique découverte summer pop's art,2021-07-03,2021-07-03,belles rives ski nautique club,ponton du belles rives,2021,7,3,2021,7,3,2021-7,0
championnat fédéral nocturne,2021-07-03,2021-07-03,compagnie d'arc d'antibes,zi des 3 moulins,2021,7,3,2021,7,3,2021-7,0
salsa batchata - swing - danses en ligne summer pop's art,2021-07-05,2021-07-05,studio danse 06,place des martyrs de la résistance,2021,7,5,2021,7,5,2021-7,0
pétanque - summer pop's art,2021-07-06,2021-07-06,direction des sports de la ville d'antibes,stade des semboules,2021,7,6,2021,7,6,2021-7,0
step - summer pop's art,2021-07-07,2021-07-07,direction des sports de la ville d'antibes,stade nautique d'antibes,2021,7,7,2021,7,7,2021-7,0
aquagym en mer - summer pop's art,2021-07-07,2021-07-07,cercle des nageurs d'antibes,plage du ponteil,2021,7,7,2021,7,7,2021-7,0
méditation en musique,2021-07-07,2021-07-07,meditbliss,base nautique du ponteil,2021,7,7,2021,7,7,2021-7,0
stretching - summer pop's art,2021-07-08,2021-07-08,direction des sports de la ville d'antibes,base nautique du ponteil,2021,7,8,2021,7,8,2021-7,0
salsa cubaine et batchata dominiquaine - summer pop's art,2021-07-09,2021-07-09,somos latinos,place mariejol,2021,7,9,2021,7,9,2021-7,0
fit foot - summer pop's art,2021-07-09,2021-07-09,jeunesse sportive de juan-les-pins,pré des pêcheurs,2021,7,9,2021,7,9,2021-7,0
zumba - summer pop's art,2021-07-09,2021-07-09,pro vie danse,pinède gould,2021,7,9,2021,7,9,2021-7,0
shakti danse - yoga de la danse - summer pop's art,2021-07-09,2021-07-09,le bonheur est dans l'éveil,parc exflora,2021,7,9,2021,7,9,2021-7,0
nocturne estivale pétanque,2021-07-09,2021-07-09,as fontonne boule,clos borriglion,2021,7,9,2021,7,9,2021-7,0
arts vietnamiens - summer pop's art,2021-07-10,2021-07-10,association art et culture d'asie,pré des pêcheurs,2021,7,10,2021,7,10,2021-7,0
marche active - summer pop's art,2021-07-12,2021-07-12,direction des sports de la ville d'antibes,place nationale,2021,7,12,2021,7,12,2021-7,0
cardio training - summer pop's art,2021-07-13,2021-07-13,direction des sports de la ville d'antibes,parc exflora,2021,7,13,2021,7,13,2021-7,0
aquagym en mer - summer pop's art,2021-07-14,2021-07-14,cercle des nageurs d'antibes,plage du ponteil,2021,7,14,2021,7,14,2021-7,0
méditation en musique,2021-07-14,2021-07-14,meditbliss,base nautique du ponteil,2021,7,14,2021,7,14,2021-7,0
cuisses abdos fessiers - summer pop's art,2021-07-15,2021-07-15,direction des sports de la ville d'antibes,stade nautique d'antibes,2021,7,15,2021,7,15,2021-7,0
salsa cubaine et batchata dominiquaine - summer pop's art,2021-07-16,2021-07-16,somos latinos,place mariejol,2021,7,16,2021,7,16,2021-7,0
salsa batchata - swing - danses en ligne summer pop's art,2021-07-16,2021-07-16,studio danse 06,place des martyrs de la résistance,2021,7,16,2021,7,16,2021-7,0
shakti danse - yoga de la danse - summer pop's art,2021-07-16,2021-07-16,le bonheur est dans l'éveil,parc exflora,2021,7,16,2021,7,16,2021-7,0
nocturne estivale pétanque,2021-07-16,2021-07-16,as fontonne boule,clos borriglion,2021,7,16,2021,7,16,2021-7,0
st marie madeleine,2021-07-17,2021-07-17,as fontonne boule,clos borriglion,2021,7,17,2021,7,17,2021-7,0
circuit training - summer pop's art,2021-07-20,2021-07-20,direction des sports de la ville d'antibes,stade des semboules,2021,7,20,2021,7,20,2021-7,0
renforcement musculaire - summer pop's art,2021-07-21,2021-07-21,direction des sports de la ville d'antibes,parc exflora,2021,7,21,2021,7,21,2021-7,0
squash - summer pop's art,2021-07-21,2021-07-21,topfit squash,pré des pêcheurs,2021,7,21,2021,7,21,2021-7,0
aquagym en mer - summer pop's art,2021-07-21,2021-07-21,cercle des nageurs d'antibes,plage du ponteil,2021,7,21,2021,7,21,2021-7,0
méditation en musique,2021-07-21,2021-07-21,meditbliss,base nautique du ponteil,2021,7,21,2021,7,21,2021-7,0
initiation saut à la perche - summer pop's art,2021-07-22,2021-07-22,direction des sports de la ville d'antibes,stade du fort carré,2021,7,22,2021,7,22,2021-7,0
salsa batchata - swing - danses en ligne summer pop's art,2021-07-23,2021-07-23,studio danse 06,place des martyrs de la résistance,2021,7,23,2021,7,23,2021-7,0
salsa cubaine et batchata dominiquaine - summer pop's art,2021-07-23,2021-07-23,somos latinos,place mariejol,2021,7,23,2021,7,23,2021-7,0
initiation badminton - summer pop's art,2021-07-23,2021-07-23,badminton club d'antibes,pré des pêcheurs,2021,7,23,2021,7,23,2021-7,0
nocturne estivale pétanque,2021-07-23,2021-07-23,as fontonne boule,clos borriglion,2021,7,23,2021,7,23,2021-7,0
squash - summer pop's art,2021-07-26,2021-07-26,topfit squash,topfit squash,2021,7,26,2021,7,26,2021-7,0
pilates - summer pop's art,2021-07-27,2021-07-27,direction des sports de la ville d'antibes,parc exflora,2021,7,27,2021,7,27,2021-7,0
squash - summer pop's art,2021-07-28,2021-07-28,topfit squash,pré des pêcheurs,2021,7,28,2021,7,28,2021-7,0
cuisses abdos fessiers - summer pop's art,2021-07-28,2021-07-28,direction des sports de la ville d'antibes,stade nautique d'antibes,2021,7,28,2021,7,28,2021-7,0
aquagym en mer - summer pop's art,2021-07-28,2021-07-28,cercle des nageurs d'antibes,plage du ponteil,2021,7,28,2021,7,28,2021-7,0
méditation en musique,2021-07-28,2021-07-28,meditbliss,base nautique du ponteil,2021,7,28,2021,7,28,2021-7,0
ultimate frisbee,2021-07-29,2021-07-29,direction des sports de la ville d'antibes,stade gilbert auvergne,2021,7,29,2021,7,29,2021-7,0
mondial footvolley,2021-07-30,2021-08-01,association footvolley antibes,pinède gould,2021,7,30,2021,8,1,2021-7,2
salsa cubaine et batchata dominiquaine - summer pop's art,2021-07-30,2021-07-30,somos latinos,place mariejol,2021,7,30,2021,7,30,2021-7,0
shakti danse - yoga de la danse - summer pop's art,2021-07-30,2021-07-30,le bonheur est dans l'éveil,parc exflora,2021,7,30,2021,7,30,2021-7,0
nocturne estivale pétanque,2021-07-30,2021-07-30,as fontonne boule,clos borriglion,2021,7,30,2021,7,30,2021-7,0
tir à l'arc - summer pop's art,2021-08-03,2021-08-03,direction des sports de la ville d'antibes,stade des semboules,2021,8,3,2021,8,3,2021-8,0
biodonza - summer pop's art,2021-08-03,2021-08-03,association bel hêtre,base nautique du ponteil,2021,8,3,2021,8,3,2021-8,0
circuit training - summer pop's art,2021-08-04,2021-08-04,direction des sports de la ville d'antibes,stade nautique d'antibes,2021,8,4,2021,8,4,2021-8,0
aquagym en mer - summer pop's art,2021-08-04,2021-08-04,cercle des nageurs d'antibes,plage du ponteil,2021,8,4,2021,8,4,2021-8,0
stretching - summer pop's art,2021-08-05,2021-08-05,direction des sports de la ville d'antibes,base nautique du ponteil,2021,8,5,2021,8,5,2021-8,0
rock - summer pop's art,2021-08-05,2021-08-05,lm danse,pré des pêcheurs,2021,8,5,2021,8,5,2021-8,0
salsa batchata - summer pop's art,2021-08-06,2021-08-06,somos latinos,place mariejol,2021,8,6,2021,8,6,2021-8,0
shakti danse - yoga de la danse - summer pop's art,2021-08-06,2021-08-06,le bonheur est dans l'éveil,parc exflora,2021,8,6,2021,8,6,2021-8,0
fit foot - summer pop's art,2021-08-06,2021-08-06,jeunesse sportive de juan-les-pins,pré des pêcheurs,2021,8,6,2021,8,6,2021-8,0
nocturne estivale pétanque,2021-08-06,2021-08-06,as fontonne boule,clos borriglion,2021,8,6,2021,8,6,2021-8,0
pilates - summer pop's art,2021-08-10,2021-08-10,direction des sports de la ville d'antibes,parc exflora,2021,8,10,2021,8,10,2021-8,0
biodonza - summer pop's art,2021-08-10,2021-08-10,association bel hêtre,base nautique du ponteil,2021,8,10,2021,8,10,2021-8,0
circuit training - summer pop's art,2021-08-11,2021-08-11,direction des sports de la ville d'antibes,stade du fort carré,2021,8,11,2021,8,11,2021-8,0
aquagym en mer - summer pop's art,2021-08-11,2021-08-11,cercle des nageurs d'antibes,plage du ponteil,2021,8,11,2021,8,11,2021-8,0
stretching - summer pop's art,2021-08-12,2021-08-12,direction des sports de la ville d'antibes,parc exflora,2021,8,12,2021,8,12,2021-8,0
rock - summer pop's art,2021-08-12,2021-08-12,lm danse,pré des pêcheurs,2021,8,12,2021,8,12,2021-8,0
salsa batchata - summer pop's art,2021-08-13,2021-08-13,somos latinos,place mariejol,2021,8,13,2021,8,13,2021-8,0
nocturne estivale pétanque,2021-08-13,2021-08-13,as fontonne boule,clos borriglion,2021,8,13,2021,8,13,2021-8,0
squash - summer pop's art,2021-08-16,2021-08-16,topfit squash,pré des pêcheurs,2021,8,16,2021,8,16,2021-8,0
marche active - summer pop's art,2021-08-17,2021-08-17,direction des sports de la ville d'antibes,place nationale,2021,8,17,2021,8,17,2021-8,0
biodonza - summer pop's art,2021-08-17,2021-08-17,association bel hêtre,base nautique du ponteil,2021,8,17,2021,8,17,2021-8,0
initiation saut à la perche - summer pop's art,2021-08-18,2021-08-18,direction des sports de la ville d'antibes,stade du fort carré,2021,8,18,2021,8,18,2021-8,0
aquagym en mer - summer pop's art,2021-08-18,2021-08-18,cercle des nageurs d'antibes,plage du ponteil,2021,8,18,2021,8,18,2021-8,0
pétanque - summer pop's art,2021-08-19,2021-08-19,direction des sports de la ville d'antibes,base nautique du ponteil,2021,8,19,2021,8,19,2021-8,0
zumba - summer pop's art,2021-08-19,2021-08-19,sport et culture 06,pinède gould,2021,8,19,2021,8,19,2021-8,0
salsa batchata - summer pop's art,2021-08-20,2021-08-20,somos latinos,place mariejol,2021,8,20,2021,8,20,2021-8,0
nocturne estivale pétanque,2021-08-20,2021-08-20,as fontonne boule,clos borriglion,2021,8,20,2021,8,20,2021-8,0
salsa batchata - swing - danses en ligne summer pop's art,2021-08-20,2021-08-20,studio danse 06,place des martyrs de la résistance,2021,8,20,2021,8,20,2021-8,0
squash - summer pop's art,2021-08-20,2021-08-20,topfit squash,topfit squash,2021,8,20,2021,8,20,2021-8,0
initiation badminton - summer pop's art,2021-08-20,2021-08-20,badminton club d'antibes,pré des pêcheurs,2021,8,20,2021,8,20,2021-8,0
zumba - summer pop's art,2021-08-20,2021-08-20,pro vie danse,place des martyrs de la résistance,2021,8,20,2021,8,20,2021-8,0
tournoi open jeunes tennis,2021-08-20,2021-08-27,tennis club d'antibes,tennis jules grec,2021,8,20,2021,8,27,2021-8,7
challenge marc grilli,2021-08-23,2021-08-23,belles rives ski nautique club,ponton du belles rives,2021,8,23,2021,8,23,2021-8,0
cuisses abdos fessiers - summer pop's art,2021-08-24,2021-08-24,direction des sports de la ville d'antibes,parc exflora,2021,8,24,2021,8,24,2021-8,0
biodonza - summer pop's art,2021-08-24,2021-08-24,association bel hêtre,base nautique du ponteil,2021,8,24,2021,8,24,2021-8,0
aquagym en mer - summer pop's art,2021-08-25,2021-08-25,cercle des nageurs d'antibes,plage du ponteil,2021,8,25,2021,8,25,2021-8,0
beach volley - summer pop's art,2021-08-25,2021-08-25,direction des sports de la ville d'antibes,stade du fort carré,2021,8,25,2021,8,25,2021-8,0
squash - summer pop's art,2021-08-25,2021-08-25,topfit squash,pré des pêcheurs,2021,8,25,2021,8,25,2021-8,0
ultimate frisbee,2021-08-26,2021-08-26,direction des sports de la ville d'antibes,stade du fort carré,2021,8,26,2021,8,26,2021-8,0
zumba - summer pop's art,2021-08-26,2021-08-26,sport et culture 06,pinède gould,2021,8,26,2021,8,26,2021-8,0
shakti danse - yoga de la danse - summer pop's art,2021-08-27,2021-08-27,le bonheur est dans l'éveil,parc exflora,2021,8,27,2021,8,27,2021-8,0
squash - summer pop's art,2021-08-27,2021-08-27,topfit squash,topfit squash,2021,8,27,2021,8,27,2021-8,0
salsa batchata - summer pop's art,2021-08-27,2021-08-27,somos latinos,place mariejol,2021,8,27,2021,8,27,2021-8,0
salsa batchata - swing - danses en ligne summer pop's art,2021-08-27,2021-08-27,studio danse 06,place des martyrs de la résistance,2021,8,27,2021,8,27,2021-8,0
nocturne estivale pétanque,2021-08-27,2021-08-27,as fontonne boule,clos borriglion,2021,8,27,2021,8,27,2021-8,0
arts vietnamiens - summer pop's art,2021-08-28,2021-08-28,association art et culture d'asie,pré des pêcheurs,2021,8,28,2021,8,28,2021-8,0
nocturne estivale pétanque,2021-09-03,2021-09-03,as fontonne boule,clos borriglion,2021,9,3,2021,9,3,2021-9,0
fête de la jeunesse et des sports,2021-09-05,2021-09-05,direction des sports de la ville d'antibes,stade du fort carré,2021,9,5,2021,9,5,2021-9,0
tournoi international vétérans 2,2021-09-05,2021-09-11,tennis club d'antibes,tennis jules grec,2021,9,5,2021,9,11,2021-9,6
jeux de sophia - tir à l'arc,2021-09-06,2021-09-28,sophia club entreprises,zi des 3 moulins,2021,9,6,2021,9,28,2021-9,22
rassemblement + 55 ans,2021-09-09,2021-09-12,asf antibes hockey,terrains de la fontonne,2021,9,9,2021,9,12,2021-9,3
tournoi de pré-saison u12-u13,2021-09-11,2021-09-11,as fontonne football,terrains de la fontonne,2021,9,11,2021,9,11,2021-9,0
match de leaders cup prob 2021-2022,2021-09-17,2021-09-17,sharks d'antibes,azurarena antibes,2021,9,17,2021,9,17,2021-9,0
tournoi de pré-saison u12-u13,2021-09-18,2021-09-18,as fontonne football,terrains de la fontonne,2021,9,18,2021,9,18,2021-9,0
match de leaders cup prob 2021-2022,2021-09-24,2021-09-24,sharks d'antibes,azurarena antibes,2021,9,24,2021,9,24,2021-9,0
course aux points top cycle,2021-09-25,2021-09-25,olympique cyclo club d'antibes,cannes la bocca,2021,9,25,2021,9,25,2021-9,0
nuit du hand,2021-09-25,2021-09-25,oajlp handball,salle saint claude,2021,9,25,2021,9,25,2021-9,0
ti-plage,2021-10-02,2021-10-02,bde-bds polytech nice sophia,plage du pont du lys,2021,10,2,2021,10,2,2021-10,0
report du 56ème rallye d'antibes,2021-10-06,2021-10-09,association sportive automobile;rallye antibes association,antibes,2021,10,6,2021,10,9,2021-10,3
tournoi beach rugby,2021-10-09,2021-10-09,esprit passion ovale skéma business school,plage du pont du lys,2021,10,9,2021,10,9,2021-10,0
régate napoleon,2021-10-10,2021-10-10,société des régates d'antibes,club port vauban,2021,10,10,2021,10,10,2021-10,0
régate modèle réduit vcr-rg65,2021-10-10,2021-10-10,société des régates d'antibes,base nautique de la salis,2021,10,10,2021,10,10,2021-10,0
42ème courir pour une fleur,2021-10-16,2021-10-17,direction des sports de la ville d'antibes,stade du fort carré,2021,10,16,2021,10,17,2021-10,1
2ème journée du championnat de pro b 2021-2022,2021-10-22,2021-10-22,sharks d'antibes,azurarena antibes,2021,10,22,2021,10,22,2021-10,0
4ème journée du championnat de pro b 2021-2022,2021-11-05,2021-11-05,sharks d'antibes,azurarena antibes,2021,11,5,2021,11,5,2021-11,0
cross du poilu,2021-11-09,2021-11-09,direction des sports de la ville d'antibes,stade du fort carré,2021,11,9,2021,11,9,2021-11,0
5ème journée du championnat de pro b 2021-2022,2021-11-09,2021-11-09,sharks d'antibes,azurarena antibes,2021,11,9,2021,11,9,2021-11,0
cross du fort carré,2021-11-13,2021-11-13,eraa,stade du fort carré,2021,11,13,2021,11,13,2021-11,0
7ème journée du championnat de pro b 2021-2022,2021-11-19,2021-11-19,sharks d'antibes,azurarena antibes,2021,11,19,2021,11,19,2021-11,0
tournoi de footvolley,2021-11-21,2021-11-21,association footvolley antibes,terrains de beach du fort carré,2021,11,21,2021,11,21,2021-11,0
marathon nice - cannes,2021-11-28,2021-11-28,azur sport organisation,antibes,2021,11,28,2021,11,28,2021-11,0
téléthon,2021-12-04,2021-12-04,direction animation et activités culturelles,place nationale,2021,12,4,2021,12,4,2021-12,0
azur contest de skate,2021-12-05,2021-12-05,azur skate board,stade du fort carré,2021,12,5,2021,12,5,2021-12,0
