animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
summer pop art danse,2022-08-26,2022-08-26,studio danse 06,pré des pêcheurs,2022,8,26,2022,8,26,2022-8,0
summer pop art badminton,2022-08-26,2022-08-26,badminton club d'antibes,pré des pêcheurs,2022,8,26,2022,8,26,2022-8,0
summer pop art salsa batchata,2022-08-26,2022-08-26,somos latinos,place mariejol,2022,8,26,2022,8,26,2022-8,0
nocturne n°11 de pétanque,2022-08-26,2022-08-26,asf boules,clos borriglion,2022,8,26,2022,8,26,2022-8,0
traversée cors'ar,2022-08-26,2022-09-06,arch-event,mer antibes calvi antibes,2022,8,26,2022,9,6,2022-8,11
grand prix des verriers,2022-08-27,2022-08-27,velo sprint biotois,biot,2022,8,27,2022,8,27,2022-8,0
summer pop art skate,2022-08-28,2022-08-28,azur skate board,pré des pêcheurs,2022,8,28,2022,8,28,2022-8,0
tournoi jeunes,2022-08-28,2022-08-28,tennis club d'antibes,tennis jules grec,2022,8,28,2022,8,28,2022-8,0
nocturne n°12 de pétanque,2022-09-02,2022-09-02,asf boules,clos borriglion,2022,9,2,2022,9,2,2022-9,0
souvenir maéva podair,2022-09-03,2022-09-03,les amis de la pinède,pinède gould,2022,9,3,2022,9,3,2022-9,0
fête de la jeunesse et des sports,2022-09-04,2022-09-04,direction des sports de la ville d'antibes,stade du fort carré,2022,9,4,2022,9,4,2022-9,0
régate vrc rg 65,2022-09-04,2022-09-04,société des régates d'antibes,base nautique du ponteil,2022,9,4,2022,9,4,2022-9,0
tournoi itf de tennis,2022-09-04,2022-09-10,tennis club d'antibes,tennis jules grec,2022,9,4,2022,9,10,2022-9,6
tournoi de pré-saison u12-u13,2022-09-10,2022-09-10,as fontonne football,stade docteur léger,2022,9,10,2022,9,10,2022-9,0
concours de pétanque,2022-09-11,2022-09-11,les amis de la pinède,petite pinède,2022,9,11,2022,9,11,2022-9,0
"challenge ""les rod's d'antibes""",2022-09-11,2022-09-11,sport santé,base nautique du ponteil,2022,9,11,2022,9,11,2022-9,0
tournoi de pré-saison u10 et u11,2022-09-17,2022-09-17,as fontonne football,stade docteur léger,2022,9,17,2022,9,17,2022-9,0
riviera tag rugby festival 2022,2022-09-17,2022-09-17,riviera tag rugby,stade gilbert auvergne,2022,9,17,2022,9,17,2022-9,0
tournoi international de hockey,2022-09-17,2022-09-18,asf hockey sur gazon,terrains de la fontonne,2022,9,17,2022,9,18,2022-9,1
nat voiliers radio-commandés,2022-09-23,2022-09-25,société des régates d'antibes,base nautique du ponteil,2022,9,23,2022,9,25,2022-9,2
tournoi beach rugby,2022-09-24,2022-09-24,esprit passion ovale skéma business school,plage du pont du lys,2022,9,24,2022,9,24,2022-9,0
1ère manche du championnat de france de footvolley,2022-09-24,2022-09-25,association footvolley antibes,terrains de beach du fort carré,2022,9,24,2022,9,25,2022-9,1
urban trail de la casa 20 ans,2022-09-25,2022-09-25,casa,azurarena antibes,2022,9,25,2022,9,25,2022-9,0
souvenir michel rolando,2022-09-27,2022-09-27,les amis de la pinède,petite pinède,2022,9,27,2022,9,27,2022-9,0
compétition tennis de table,2022-10-08,2022-10-09,oajlp tennis de table,azurarena antibes,2022,10,8,2022,10,9,2022-10,1
2ème journée du championnat de pro b 2022-2023,2022-10-14,2022-10-14,sharks d'antibes,azurarena antibes,2022,10,14,2022,10,14,2022-10,0
tournoi de pétanque,2022-10-15,2022-10-15,asf boules,clos borriglion,2022,10,15,2022,10,15,2022-10,0
43ème edition de courir pour une fleur,2022-10-15,2022-10-16,direction des sports de la ville d'antibes,stade du fort carré,2022,10,15,2022,10,16,2022-10,1
assa bloc 2022,2022-10-16,2022-10-16,assa escalade,salle paul charpin,2022,10,16,2022,10,16,2022-10,0
cross du cœur,2022-10-20,2022-10-20,collège sidney bechet,parc exflora,2022,10,20,2022,10,20,2022-10,0
triathlon des roses,2022-10-23,2022-10-23,antibes triathlon,base nautique du ponteil,2022,10,23,2022,10,23,2022-10,0
tournoi open jacques grima,2022-10-26,2022-11-26,tennis club d'antibes,tennis jules grec,2022,10,26,2022,11,26,2022-10,31
marathon nice - cannes,2022-10-30,2022-10-30,azur sport organisation,antibes,2022,10,30,2022,10,30,2022-10,0
6ème cyclo-cross des semboules,2022-10-30,2022-10-30,olympique cyclo club d'antibes,stade des semboules,2022,10,30,2022,10,30,2022-10,0
journée bouliste,2022-11-01,2022-11-01,asf boules et ab des eucalyptus,clos borriglion,2022,11,1,2022,11,1,2022-11,0
4ème journée du championnat de pro b 2022-2023,2022-11-04,2022-11-04,sharks d'antibes,azurarena antibes,2022,11,4,2022,11,4,2022-11,0
tournoi de pétanque,2022-11-05,2022-11-05,asf boules,clos borriglion,2022,11,5,2022,11,5,2022-11,0
compétition tennis de table,2022-11-05,2022-11-06,oajlp tennis de table,azurarena antibes,2022,11,5,2022,11,6,2022-11,1
cross du poilu,2022-11-10,2022-11-10,direction des sports de la ville d'antibes,stade du fort carré,2022,11,10,2022,11,10,2022-11,0
challenge belmas,2022-11-11,2022-11-12,rugby club sophia antipolis,stade gilbert auvergne,2022,11,11,2022,11,12,2022-11,1
rassemblement emile allo,2022-11-13,2022-11-13,olympique cyclo club d'antibes,square albert 1er,2022,11,13,2022,11,13,2022-11,0
cross du fort carré,2022-11-19,2022-11-19,eraa,stade du fort carré,2022,11,19,2022,11,19,2022-11,0
30ème trophée hoang nam,2022-11-19,2022-11-20,ecole hoang nam,salle aaa,2022,11,19,2022,11,20,2022-11,1
6ème journée du championnat de pro b 2022-2023,2022-11-25,2022-11-25,sharks d'antibes,azurarena antibes,2022,11,25,2022,11,25,2022-11,0
8ème journée du championnat de pro b 2022-2023,2022-12-02,2022-12-02,sharks d'antibes,azurarena antibes,2022,12,2,2022,12,2,2022-12,0
régate vrc rg 65,2022-12-04,2022-12-04,société des régates d'antibes,base nautique du ponteil,2022,12,4,2022,12,4,2022-12,0
compétition tennis de table,2022-12-10,2022-12-11,oajlp tennis de table,azurarena antibes,2022,12,10,2022,12,11,2022-12,1
triathlon de la st sylvestre,2022-12-11,2022-12-11,antibes triathlon,pinède gould,2022,12,11,2022,12,11,2022-12,0
challenge lesage,2022-12-11,2022-12-11,compagnie d'arc d'antibes,stand de tir des 3 moulins,2022,12,11,2022,12,11,2022-12,0
tournoi orange 7/10 ans,2022-12-11,2022-12-11,tennis club d'antibes,tennis jules grec,2022,12,11,2022,12,11,2022-12,0
tournoi orange 7/10 ans,2022-12-18,2022-12-18,tennis club d'antibes,tennis jules grec,2022,12,18,2022,12,18,2022-12,0
11ème journée du championnat de pro b 2022-2023,2022-12-20,2022-12-20,sharks d'antibes,azurarena antibes,2022,12,20,2022,12,20,2022-12,0
12ème journée du championnat de pro b 2022-2023,2022-12-23,2022-12-23,sharks d'antibes,azurarena antibes,2022,12,23,2022,12,23,2022-12,0
bain du jour de l'an,2023-01-01,2023-01-01,day one,plage de la salis,2023,1,1,2023,1,1,2023-1,0
régate de ligue 420,2023-01-07,2023-01-08,sra,base nautique du ponteil,2023,1,7,2023,1,8,2023-1,1
championnat départemental de gym,2023-01-14,2023-01-14,oajlp gymnastique,salle pierre brochard,2023,1,14,2023,1,14,2023-1,0
championnat par équipes d'échec départ et national,2023-01-15,2023-01-15,le séchiquiers antibois,base nautique du ponteil,2023,1,15,2023,1,15,2023-1,0
journée des pmm,2023-01-21,2023-01-21,direction des sports de la ville d'antibes,stade du fort carré,2023,1,21,2023,1,21,2023-1,0
remise des prix,2023-01-21,2023-01-21,appa,club port vauban,2023,1,21,2023,1,21,2023-1,0
le calvaire trail longe côte,2023-01-29,2023-01-29,wild move,plage de la salis,2023,1,29,2023,1,29,2023-1,0
souvenir albert triton,2023-01-29,2023-01-29,antibes vélo passion,parking du ponteil,2023,1,29,2023,1,29,2023-1,0
championnat départemental par équipe de gym,2023-02-04,2023-02-04,oajlp gymnastique,salle pierre brochard,2023,2,4,2023,2,4,2023-2,0
reception presentation club,2023-02-08,2023-02-08,société des régates d'antibes,base nautique du ponteil,2023,2,8,2023,2,8,2023-2,0
concours de boules,2023-02-12,2023-02-12,asf boules,clos borriglion,2023,2,12,2023,2,12,2023-2,0
2ème etape tour des am et var,2023-02-18,2023-02-18,nice matin,azurarena antibes,2023,2,18,2023,2,18,2023-2,0
concours de boules,2023-02-18,2023-02-18,asf boules,clos borriglion,2023,2,18,2023,2,18,2023-2,0
top 12 de gym,2023-02-25,2023-02-25,oajlp gymnastique,salle pierre brochard,2023,2,25,2023,2,25,2023-2,0
souvenir josé garido,2023-02-25,2023-02-25,les amis de la pinède,petite et grande pinède,2023,2,25,2023,2,25,2023-2,0
rassemblement cycliste,2023-02-26,2023-02-26,vélo club antibois,parvis de la chapelle de la garoupe,2023,2,26,2023,2,26,2023-2,0
prepa fra handball fauteuil euro,2023-03-04,2023-03-04,handisport antibes méditerranée,salle saint claude,2023,3,4,2023,3,4,2023-3,0
souvenir maeva podair,2023-03-04,2023-03-04,les amis de la pinède,clos de la pinède,2023,3,4,2023,3,4,2023-3,0
hand ensemble,2023-03-09,2023-03-09,oajlp handball,salle saint claude,2023,3,9,2023,3,9,2023-3,0
tournoi que du bad,2023-03-11,2023-03-12,badminton club d'antibes,gymnase de la fontonne,2023,3,11,2023,3,12,2023-3,1
25 ème grand prix de la ville d'antibes,2023-03-12,2023-03-12,judo club d'antibes,salle aaa,2023,3,12,2023,3,12,2023-3,0
championnat par équipes d'échec départ et national,2023-03-12,2023-03-12,le séchiquiers antibois,base nautique du ponteil,2023,3,12,2023,3,12,2023-3,0
regate ligue optimists,2023-03-12,2023-03-12,sra,base nautique du ponteil,2023,3,12,2023,3,12,2023-3,0
challenge chardonneau,2023-03-18,2023-03-18,école d'escrime d'antibes,salle saint claude,2023,3,18,2023,3,18,2023-3,0
nuit du hand,2023-03-18,2023-03-18,oajlp handball,salle saint claude,2023,3,18,2023,3,18,2023-3,0
championnats de france de tennis de table,2023-03-24,2023-03-26,oajlp tennis de table,salle aaa,2023,3,24,2023,3,26,2023-3,2
tournoi de basket 3x3,2023-03-24,2023-03-26,sharks d'antibes,stade du fort carré,2023,3,24,2023,3,26,2023-3,2
regate optimiste 420,2023-03-25,2023-03-26,sra,port gallice,2023,3,25,2023,3,26,2023-3,1
7ème calvaire antibois,2023-03-26,2023-03-26,asoa section run & tri,base nautique du ponteil,2023,3,26,2023,3,26,2023-3,0
concours en mer de chien de sauvetage,2023-04-01,2023-04-02,assoc terre neuve 06,plage de la salis,2023,4,1,2023,4,2,2023-4,1
tournoi open senior,2023-04-08,2023-04-21,tennis club d'antibes,tennis jules grec,2023,4,8,2023,4,21,2023-4,13
challenge alain cinquin,2023-04-08,2023-04-10,asf antibes hockey,stade docteur léger,2023,4,8,2023,4,10,2023-4,2
champ de france voiture radio co,2023-04-08,2023-04-09,mini racing club antibes,super antibes,2023,4,8,2023,4,9,2023-4,1
concours d'agility,2023-04-15,2023-04-16,amicale du chien de travail d'antibes,zi des 3 moulins,2023,4,15,2023,4,16,2023-4,1
démonstration trampoline,2023-04-23,2023-04-23,oajlp trampoline - gym acro,place des martyrs de la résistance,2023,4,23,2023,4,23,2023-4,0
demi-national regate lasers,2023-04-29,2023-05-01,sra,base nautique du ponteil,2023,4,29,2023,5,1,2023-4,2
tournoi de football,2023-04-29,2023-05-01,jeunesse sportive de juan-les-pins,stade gilbert auvergne,2023,4,29,2023,5,1,2023-4,2
challenge regional de tir,2023-05-01,2023-05-01,tir sportif d'antibes,stand de tir des 3 moulins,2023,5,1,2023,5,1,2023-5,0
tour amateur de la casa,2023-05-05,2023-05-05,velo sprint biotois,rd 6098,2023,5,5,2023,5,5,2023-5,0
departementaux 25/50m de tir,2023-05-06,2023-05-07,tir sportif d'antibes,stand de tir des 3 moulins,2023,5,6,2023,5,7,2023-5,1
tournoi inter membres,2023-05-06,2023-06-25,tennis club d'antibes,tennis jules grec,2023,5,6,2023,6,25,2023-5,50
tournoi u13 espoirs,2023-05-07,2023-05-08,club des jeunes,stade du super antibes,2023,5,7,2023,5,8,2023-5,1
triathlon des jeunes d'athlétisme,2023-05-13,2023-05-13,eraa,stade du fort carré,2023,5,13,2023,5,13,2023-5,0
nuit du hand,2023-05-13,2023-05-13,oajlp handball,salle saint claude,2023,5,13,2023,5,13,2023-5,0
autour de la trottinette,2023-05-13,2023-05-13,association des commercants,place jean aude,2023,5,13,2023,5,13,2023-5,0
regate vrc,2023-05-14,2023-05-14,sra,base nautique du ponteil,2023,5,14,2023,5,14,2023-5,0
tournoi feminin u11 à u15,2023-05-18,2023-05-20,as fontonne football,stade docteur léger,2023,5,18,2023,5,20,2023-5,2
tournoi reduit u6 à u9,2023-05-18,2023-05-20,as fontonne football,stade docteur léger,2023,5,18,2023,5,20,2023-5,2
58ème rallye d'antibes,2023-05-18,2023-05-21,antibesrallye association,pré des pêcheurs,2023,5,18,2023,5,21,2023-5,3
60 ème challenge denape,2023-05-20,2023-05-21,compagnie d'arc d'antibes,zi des 3 moulins,2023,5,20,2023,5,21,2023-5,1
unss raid antibes,2023-05-24,2023-05-24,unss nice,plage du ponteil,2023,5,24,2023,5,24,2023-5,0
jeux de sophia,2023-05-24,2023-06-22,sophia club entreprises,stand de tir des 3 moulins,2023,5,24,2023,6,22,2023-5,29
handensemble plage,2023-05-25,2023-05-25,oajlp handball,plage antibes,2023,5,25,2023,5,25,2023-5,0
la boule chantante,2023-05-27,2023-05-27,les amis de la pinède,petite pinède,2023,5,27,2023,5,27,2023-5,0
14ème edition handiboise,2023-05-27,2023-05-27,sra,mer antibes,2023,5,27,2023,5,27,2023-5,0
tournoi international jeunes,2023-05-27,2023-05-29,as fontonne football,stade docteur léger,2023,5,27,2023,5,29,2023-5,2
edf aqua challenge,2023-05-28,2023-05-28,c.n.a,antibes salis et tour du cap,2023,5,28,2023,5,28,2023-5,0
tournoi daniel charles et casa,2023-06-03,2023-06-04,oajlp basket,stade foch,2023,6,3,2023,6,4,2023-6,1
l'eau pour rayonner,2023-06-04,2023-06-05,autisme,stade nautique d'antibes,2023,6,4,2023,6,5,2023-6,1
champ cycliste sur route,2023-06-04,2023-06-04,occa,antibes,2023,6,4,2023,6,4,2023-6,0
tournoi régional jeunes,2023-06-11,2023-06-11,compagnie d'arc d'antibes,zi des 3 moulins,2023,6,11,2023,6,11,2023-6,0
tournée handi voile 06,2023-06-16,2023-06-16,département des alpes-maritimes,base nautique du ponteil,2023,6,16,2023,6,16,2023-6,0
tournée handi sub 06,2023-06-16,2023-06-16,comité dep d'étude et sport sous-marin,plage de la salis,2023,6,16,2023,6,16,2023-6,0
tournoi nicolas cagnasso,2023-06-17,2023-06-17,amadeus,stade gilbert auvergne,2023,6,17,2023,6,17,2023-6,0
challenge de noé,2023-06-18,2023-06-18,tir sportif d'antibes,stand de tir des 3 moulins,2023,6,18,2023,6,18,2023-6,0
yoga au lever du soleil,2023-06-21,2023-06-21,ifypaca,plage du ponteil,2023,6,21,2023,6,21,2023-6,0
nocturne été n°3,2023-06-21,2023-06-21,as fontonne boule,clos borriglion,2023,6,21,2023,6,21,2023-6,0
liaison cm2- 6ème fersen,2023-06-22,2023-06-22,collège fersen,stade foch,2023,6,22,2023,6,22,2023-6,0
champ france des maitres,2023-06-22,2023-06-25,c.n.a,stade nautique d'antibes,2023,6,22,2023,6,25,2023-6,3
défis olympiques,2023-06-23,2023-06-23,direction des sports de la ville d'antibes,stade du fort carré,2023,6,23,2023,6,23,2023-6,0
tournoi international u15,2023-06-23,2023-06-25,oajlp basket,stade foch,2023,6,23,2023,6,25,2023-6,2
tournoi+assemblée générale,2023-06-24,2023-06-25,oajlp volley-ball,stade du fort carré,2023,6,24,2023,6,25,2023-6,1
national tennis cup fft,2023-06-24,2023-07-02,asso tennis,tennis paul charpin,2023,6,24,2023,7,2,2023-6,8
fitdays mgen triathlon,2023-06-24,2023-06-25,mgen,stade du fort carré,2023,6,24,2023,6,25,2023-6,1
idef course à pied,2023-06-26,2023-06-26,comexposium,juan-les-pins,2023,6,26,2023,6,26,2023-6,0
tournoi internation d'antibes,2023-06-27,2023-07-02,badminton club d'antibes,salle saint claude,2023,6,27,2023,7,2,2023-6,5
les olympiades antiboises,2023-06-28,2023-06-28,direction jeunesse,stade du fort carré,2023,6,28,2023,6,28,2023-6,0
souvenir pierre angelini,2023-07-01,2023-07-01,les petanquiers du port d'antibes,stade du fort carré,2023,7,1,2023,7,1,2023-7,0
festival capoeira cote d'azur,2023-07-01,2023-07-01,arte brasil,stade foch,2023,7,1,2023,7,1,2023-7,0
fête du basket,2023-07-01,2023-07-01,sharks d'antibes,pré des pêcheurs,2023,7,1,2023,7,1,2023-7,0
souvenir michel debord,2023-07-02,2023-07-02,les petanquiers du port d'antibes,stade du fort carré,2023,7,2,2023,7,2,2023-7,0
reception des sportifs,2023-07-03,2023-07-03,direction des sports de la ville d'antibes,stade nautique d'antibes,2023,7,3,2023,7,3,2023-7,0
nocturne été n°1,2023-07-07,2023-07-07,as fontonne boule,clos borriglion,2023,7,7,2023,7,7,2023-7,0
4ème festival summer pop arts,2023-07-10,2023-08-27,direction des sports de la ville d'antibes,antibes,2023,7,10,2023,8,27,2023-7,48
nocturne été n°2,2023-07-14,2023-07-14,as fontonne boule,clos borriglion,2023,7,14,2023,7,14,2023-7,0
nocturne été n°4,2023-07-28,2023-07-28,as fontonne boule,clos borriglion,2023,7,28,2023,7,28,2023-7,0
mondial de footvoley,2023-07-28,2023-07-30,mondial footvolley,pinède gould,2023,7,28,2023,7,30,2023-7,2
nocturne été n°5,2023-08-04,2023-08-04,as fontonne boule,clos borriglion,2023,8,4,2023,8,4,2023-8,0
souvenir ahmed laribi,2023-08-05,2023-08-05,les petanquiers du port d'antibes,stade du fort carré,2023,8,5,2023,8,5,2023-8,0
souvenir denis del zoppo,2023-08-06,2023-08-06,les petanquiers du port d'antibes,stade du fort carré,2023,8,6,2023,8,6,2023-8,0
challenge marc grilli,2023-08-07,2023-08-07,belles rives ski nautique club,belles rives ski nautique,2023,8,7,2023,8,7,2023-8,0
nocturne été n°6,2023-08-11,2023-08-11,as fontonne boule,clos borriglion,2023,8,11,2023,8,11,2023-8,0
nocturne été n°7,2023-08-18,2023-08-18,as fontonne boule,clos borriglion,2023,8,18,2023,8,18,2023-8,0
tournoi+repas,2023-08-19,2023-08-19,as fontonne boule,clos borriglion,2023,8,19,2023,8,19,2023-8,0
initiation plongée handi,2023-08-20,2023-08-24,comité dep d'étude et sport sous-marin,plage de la salis,2023,8,20,2023,8,24,2023-8,4
open de france junior ligue de basket 3x3,2023-08-23,2023-08-27,ffbb,pré des pêcheurs,2023,8,23,2023,8,27,2023-8,4
nocturne été n°8,2023-08-25,2023-08-25,as fontonne boule,clos borriglion,2023,8,25,2023,8,25,2023-8,0
nocturne été n°9,2023-09-01,2023-09-01,as fontonne boule,clos borriglion,2023,9,1,2023,9,1,2023-9,0
tournoi pre saison u10-u11,2023-09-02,2023-09-02,as fontonne football,stade docteur léger,2023,9,2,2023,9,2,2023-9,0
itf vétérans seniors,2023-09-03,2023-09-09,tca,tennis jules grec,2023,9,3,2023,9,9,2023-9,6
tournoi de rentrée,2023-09-09,2023-09-09,oajlp basket,stade foch,2023,9,9,2023,9,9,2023-9,0
tournoi pre saison u12-u13,2023-09-09,2023-09-09,as fontonne football,stade docteur léger,2023,9,9,2023,9,9,2023-9,0
tournoi des 20 ans,2023-09-09,2023-09-10,ziggles,stade gilbert auvergne,2023,9,9,2023,9,10,2023-9,1
fete de la jeunesse et des sports,2023-09-10,2023-09-10,ds/djl,stade du fort carré,2023,9,10,2023,9,10,2023-9,0
ti plage,2023-09-16,2023-09-16,bde-bds polytech nice sophia,plage du pont du lys,2023,9,16,2023,9,16,2023-9,0
journée du sport scolaire,2023-09-20,2023-09-20,unss,stade du fort carré,2023,9,20,2023,9,20,2023-9,0
concours de boules,2023-09-23,2023-09-23,asf boules,clos borriglion,2023,9,23,2023,9,23,2023-9,0
regate vrc rg65,2023-09-24,2023-09-24,sra,stade nautique d'antibes,2023,9,24,2023,9,24,2023-9,0
71ème gp de la ville d'antibes,2023-09-24,2023-09-24,occa,biot,2023,9,24,2023,9,24,2023-9,0
concours cnfpt police municipale,2023-09-28,2023-09-28,cnfpt,stade du fort carré,2023,9,28,2023,9,28,2023-9,0
regate handivoile,2023-09-28,2023-09-30,sra,stade nautique d'antibes,2023,9,28,2023,9,30,2023-9,2
gestes qui sauvent,2023-09-29,2023-09-29,département 06 / sdis,stade du fort carré,2023,9,29,2023,9,29,2023-9,0
run and dream pour kaylia - matteo,2023-10-01,2023-10-01,police national,bord de mer siesta - musée archéologique,2023,10,1,2023,10,1,2023-10,0
course octobre rose,2023-10-01,2023-10-01,ligue contre le cancer,rd 6098,2023,10,1,2023,10,1,2023-10,0
cross du collège bertone,2023-10-05,2023-10-05,college bertone,stade des semboules,2023,10,5,2023,10,5,2023-10,0
retransmission match rugby,2023-10-14,2023-10-15,rugby club d'antibes,stade gilbert auvergne,2023,10,14,2023,10,15,2023-10,1
courir pour fleur,2023-10-14,2023-10-15,direction des sports de la ville d'antibes,stade du fort carré,2023,10,14,2023,10,15,2023-10,1
concours de boules,2023-10-21,2023-10-21,asf boules,clos borriglion,2023,10,21,2023,10,21,2023-10,0
retransmission match rugby,2023-10-21,2023-10-22,rugby club d'antibes,stade gilbert auvergne,2023,10,21,2023,10,22,2023-10,1
tournoi jacques grima,2023-10-21,2023-11-04,tca,tennis jules grec,2023,10,21,2023,11,4,2023-10,14
triathlon des roses,2023-10-22,2023-10-22,antibes triathlon,salis / cap d'antibes,2023,10,22,2023,10,22,2023-10,0
tournoi feminin octobre rose,2023-10-28,2023-10-28,as fontonne football,stade docteur léger,2023,10,28,2023,10,28,2023-10,0
retransmission match rugby,2023-10-28,2023-10-28,rugby club d'antibes,stade gilbert auvergne,2023,10,28,2023,10,28,2023-10,0
7ème cyclo cross des semboules,2023-10-29,2023-10-29,occa,stade des semboules,2023,10,29,2023,10,29,2023-10,0
tournoi des petits as,2023-11-03,2023-11-18,tca,tennis jules grec,2023,11,3,2023,11,18,2023-11,15
tournoi padel fauteuil,2023-11-04,2023-11-04,tca,tennis jules grec,2023,11,4,2023,11,4,2023-11,0
marathon nice - cannes,2023-11-05,2023-11-05,azur sport organisation,antibes,2023,11,5,2023,11,5,2023-11,0
challenge belmas,2023-11-11,2023-11-12,rugby club d'antibes,stade gilbert auvergne,2023,11,11,2023,11,12,2023-11,1
souvenir allo,2023-11-12,2023-11-12,acca,square albert 1er,2023,11,12,2023,11,12,2023-11,0
cross du poilu,2023-11-15,2023-11-15,direction des sports de la ville d'antibes,stade du fort carré,2023,11,15,2023,11,15,2023-11,0
cross du fort carré,2023-11-18,2023-11-18,eraa,stade du fort carré,2023,11,18,2023,11,18,2023-11,0
nuit du hand,2023-11-18,2023-11-18,oajlp handball,salle saint claude,2023,11,18,2023,11,18,2023-11,0
matchs de champ tennis de table,2023-11-18,2023-11-19,oajlp tennis de table,stade foch,2023,11,18,2023,11,19,2023-11,1
regate championnat de ligue,2023-11-19,2023-11-19,sra,base nautique de la salis,2023,11,19,2023,11,19,2023-11,0
assa bloc,2023-11-19,2023-11-19,assa escalade,salle paul charpin,2023,11,19,2023,11,19,2023-11,0
matchs de champ tennis de table,2023-11-25,2023-11-26,oajlp tennis de table,stade foch,2023,11,25,2023,11,26,2023-11,1
regate voiliers radio com rg 65,2023-11-26,2023-11-26,sra,base nautique de la salis,2023,11,26,2023,11,26,2023-11,0
top 12 de gym qualifs,2023-12-02,2023-12-02,oajlp gymnastique,salle pierre brochard,2023,12,2,2023,12,2,2023-12,0
cross des 3ème du collège roustan,2023-12-08,2023-12-08,collège roustan,stade du fort carré,2023,12,8,2023,12,8,2023-12,0
challenge andré lesage,2023-12-09,2023-12-10,compagnie d'arc d'antibes,salle saint claude,2023,12,9,2023,12,10,2023-12,1
triathlon de la st sylvestre,2023-12-10,2023-12-10,antibes triathlon,pinède gould,2023,12,10,2023,12,10,2023-12,0
tournoi de padel p100,2023-12-17,2023-12-17,tennis club d'antibes,tennis jules grec,2023,12,17,2023,12,17,2023-12,0
tournoi tmc de tennis,2023-12-17,2023-12-19,tennis club d'antibes,tennis jules grec,2023,12,17,2023,12,19,2023-12,2
olympiades du collège fersen,2023-12-20,2023-12-20,collège fersen,stade foch,2023,12,20,2023,12,20,2023-12,0
