COMMUNE_NOM,COLL_SIRET,ANIMATIONS,DATE DEBUT,DATE FIN,ORGANISATEUR,LIEU 1,LIEU 2,LIEU 3
Antibes,21060004500012,Aquagym,2020-07-29,2020-07-29,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Méditation,2020-07-29,2020-07-29,Meditbliss,Parc Exflora,,
Antibes,21060004500012,Biodonza,2020-07-30,2020-07-30,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Salsa Batchata ,2020-07-30,2020-07-30,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Nocturne de Pétanque,2020-07-30,2020-07-30,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Marathon Estivale Féminin de boules ,2020-08-02,2020-08-02,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Biodonza,2020-08-04,2020-08-04,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Aquagym,2020-08-05,2020-08-05,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Zumba,2020-08-06,2020-08-06,Sport et Culture 06,Square Gould,,
Antibes,21060004500012,Nocturne de Pétanque,2020-08-07,2020-08-07,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Salsa Batchata ,2020-08-07,2020-08-07,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Biodonza,2020-08-11,2020-08-11,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Aquagym,2020-08-12,2020-08-12,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Salsa Batchata ,2020-08-14,2020-08-14,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Nocturne de Pétanque,2020-08-14,2020-08-14,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Biodonza,2020-08-18,2020-08-18,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Aquagym,2020-08-19,2020-08-19,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Salsa Batchata ,2020-08-21,2020-08-21,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,32ème Challenge Marc Grilli,2020-08-21,2020-08-21,Belles Rives Ski Nautique Club,Ponton du Belles Rives,,
Antibes,21060004500012,Nocturne de Pétanque,2020-08-21,2020-08-21,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Biodonza,2020-08-25,2020-08-25,Association Bel Hêtre,Base Nautique,,
Antibes,21060004500012,Aquagym,2020-08-26,2020-08-26,Cercle des Nageurs d'Antibes,Plage du Ponteil,,
Antibes,21060004500012,Salsa Batchata ,2020-08-28,2020-08-28,Somos Latinos,Place Mariejol,,
Antibes,21060004500012,Nocturne de Pétanque,2020-08-28,2020-08-28,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Zumba,2020-08-28,2020-08-28,Sport et Culture 06,Square Gould,,
Antibes,21060004500012,Concours Maëva PODAIR,2020-08-30,2020-08-30,Les Amis de la Pinède,Petite Pinède,,
Antibes,21060004500012,L'eau pour Rayonner,2020-09-05,2020-09-05,Direction des Sports de la Ville d'Antibes,Stade Nautique d'Antibes,,
Antibes,21060004500012,Fête de la Jeunesse ,2020-09-06,2020-09-06,Direction des Sports de la Ville d'Antibes,Stade du Fort Carré,,
Antibes,21060004500012,Jeux de Sophia - Tir à l'arc,2020-09-07,2020-10-06,Sophia Club Entreprises,ZI des 3 Moulins,,
Antibes,21060004500012,Prix Roger Borriglion ,2020-09-12,2020-09-12,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Tournoi U12 et U13 ,2020-09-12,2020-09-12,AS Fontonne Football,Stade Docteur Léger,,
Antibes,21060004500012,Tournoi OPEN de Tennis,2020-09-12,2020-09-27,ASSA Tennis,Tennis des Semboules,,
Antibes,21060004500012,Tournoi U10 et U11 ,2020-09-19,2020-09-19,AS Fontonne Football,Stade Docteur Léger,,
Antibes,21060004500012,Prix Eric PAUGET,2020-09-29,2020-09-29,Les Amis de la Pinède,Petite Pinède,,
Antibes,21060004500012,Prix Jean Aude ,2020-10-03,2020-10-03,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Régate Habitable - Coupe du Club,2020-10-03,2020-10-04,Société des Régates d'Antibes,Mer d'Antibes à Menton,,
Antibes,21060004500012,Régate Lasers ,2020-10-03,2020-10-04,Société des Régates d'Antibes,Base Nautique,Ponteil,
Antibes,21060004500012,Régate Habitable - Coupe Napoléon ,2020-10-08,2020-10-11,Société des Régates d'Antibes,Mer d'Antibes à Elbe,,
Antibes,21060004500012,Tournoi 8/10 ans ORANGE ,2020-10-11,2020-10-11,Tennis Club d'Antibes,Tennis Jules Grec,,
Antibes,21060004500012,Semaine Olympique ,2021-02-01,2021-02-06,Direction Jeunesse + direction des Sports,Ecoles Primaires d'Antibes,,
Antibes,21060004500012,CDSA Natation ,2021-02-13,2021-02-13,Comité dépatemental ,Stade Nautique d'Antibes,,
Antibes,21060004500012,Stage préparatoire à la coupe de printemps ,2021-03-02,2021-03-06,Société des Régates d'Antibes,Base Nautique de la Salis,,
Antibes,21060004500012,Découverte / Initiation Pétanque ,2021-05-22,2021-05-22,Les Amis de la Pinède,Pinède de Juan-les-Pins,,
Antibes,21060004500012,Concours d'agility ,2021-05-23,2021-05-23,Amicale du Chien de Travail d'Antibes,ZI des 3 Moulins,,
Antibes,21060004500012,Mercantour Vélo - tour ,2021-05-24,2021-05-25,Mercantour Vélo,Stade de la Fontonne,,
Antibes,21060004500012,Report du 58ème Challenge DENAPE,2021-06-05,2021-06-06,Compagnie d'Arc d'Antibes,ZI des 3 Moulins,,
Antibes,21060004500012,Tournoi du club de tennis,2021-06-09,2021-06-23,ASSA Tennis ,Tennis des Semboules,,
Antibes,21060004500012,Tournoi de 3 x 3 et de 5 x 5 de basket ,2021-06-12,2021-06-13,OAJLP Basket,Stade Foch ,,
Antibes,21060004500012,Ski Nautique découverte Summer Pop's Art,2021-06-19,2021-06-19,Belles Rives Ski Nautique Club,Ponton du Belles Rives,,
Antibes,21060004500012,L'eau pour Rayonner,2021-06-19,2021-06-19,Autisme,Stade Nautique d'Antibes,,
Antibes,21060004500012,70ème Grand Prix d'Antibes ,2021-06-20,2021-06-20,Olympique Cyclo Club d'Antibes,Gréolières,,
Antibes,21060004500012,Journée Olympique ,2021-06-22,2021-06-22,CDOS 06 + CREPS,Stade du Fort Carré,,
Antibes,21060004500012,Tournée Handivoile 06,2021-06-24,2021-06-24,Département des Alpes-Maritimes,Base Nautique de la Salis,,
Antibes,21060004500012,Ski Nautique découverte Summer Pop's Art,2021-06-26,2021-06-26,Belles Rives Ski Nautique Club,Ponton du Belles Rives,,
Antibes,21060004500012,Fêtes de la Saint Pierre ,2021-06-26,2021-06-27,Direction Animation et Activités Culturelles,Base Nautique de la Salis,,
Antibes,21060004500012,Tournoi de Tennis Ballon ,2021-06-28,2021-07-04,Jeunesse Sportive de Juan-les-Pins,Stade Gilbert Auvergne,,
Antibes,21060004500012,Tournoi Régional de tennis,2021-07-01,2021-07-14,Tennis Club d'Antibes,Tennis Jules Grec,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-07-02,2021-07-02,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Tournoi Basketball 3 x 3,2021-07-02,2021-07-03,Sharks d'Antibes,Pré des Pêcheurs ,,
Antibes,21060004500012,Ski Nautique découverte Summer Pop's Art,2021-07-03,2021-07-03,Belles Rives Ski Nautique Club,Ponton du Belles Rives,,
Antibes,21060004500012,Championnat Fédéral Nocturne ,2021-07-03,2021-07-03,Compagnie d'Arc d'Antibes,ZI des 3 Moulins,,
Antibes,21060004500012,Salsa Batchata - swing - Danses en ligne Summer Pop's Art,2021-07-05,2021-07-05,Studio Danse 06,Place des Martyrs de la Résistance,,
Antibes,21060004500012,Pétanque - Summer Pop's Art,2021-07-06,2021-07-06,Direction des Sports de la Ville d'Antibes,Stade des Semboules,,
Antibes,21060004500012,Step - Summer Pop's Art,2021-07-07,2021-07-07,Direction des Sports de la Ville d'Antibes,Stade Nautique d'Antibes,,
Antibes,21060004500012,Aquagym en mer - Summer Pop's Art,2021-07-07,2021-07-07,Cercle des Nageurs d'Antibes,Plage du ponteil,,
Antibes,21060004500012,Méditation en musique,2021-07-07,2021-07-07,Meditbliss,Base Nautique du Ponteil,,
Antibes,21060004500012,Stretching - Summer Pop's Art,2021-07-08,2021-07-08,Direction des Sports de la Ville d'Antibes,Base Nautique du Ponteil,,
Antibes,21060004500012,Salsa Cubaine et Batchata Dominiquaine - Summer Pop's Art,2021-07-09,2021-07-09,Somos Latinos ,Place Mariejol,,
Antibes,21060004500012,Fit Foot - Summer Pop's Art,2021-07-09,2021-07-09,Jeunesse Sportive de Juan-les-Pins,Pré des Pêcheurs ,,
Antibes,21060004500012,Zumba - Summer Pop's Art,2021-07-09,2021-07-09,Pro Vie Danse,Pinède Gould,,
Antibes,21060004500012,Shakti Danse - Yoga de la Danse - Summer Pop's Art,2021-07-09,2021-07-09,Le Bonheur est dans l'éveil,Parc Exflora ,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-07-09,2021-07-09,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Arts Vietnamiens - Summer Pop's Art,2021-07-10,2021-07-10,Association Art et Culture d'Asie,Pré des Pêcheurs ,,
Antibes,21060004500012,Marche Active - Summer Pop's Art,2021-07-12,2021-07-12,Direction des Sports de la Ville d'Antibes,Place Nationale,,
Antibes,21060004500012,Cardio Training - Summer Pop's Art,2021-07-13,2021-07-13,Direction des Sports de la Ville d'Antibes,Parc Exflora ,,
Antibes,21060004500012,Aquagym en mer - Summer Pop's Art,2021-07-14,2021-07-14,Cercle des Nageurs d'Antibes,Plage du ponteil,,
Antibes,21060004500012,Méditation en musique,2021-07-14,2021-07-14,Meditbliss,Base Nautique du Ponteil,,
Antibes,21060004500012,Cuisses Abdos Fessiers - Summer Pop's Art,2021-07-15,2021-07-15,Direction des Sports de la Ville d'Antibes,Stade Nautique d'Antibes,,
Antibes,21060004500012,Salsa Cubaine et Batchata Dominiquaine - Summer Pop's Art,2021-07-16,2021-07-16,Somos Latinos ,Place Mariejol,,
Antibes,21060004500012,Salsa Batchata - swing - Danses en ligne Summer Pop's Art,2021-07-16,2021-07-16,Studio Danse 06,Place des Martyrs de la Résistance,,
Antibes,21060004500012,Shakti Danse - Yoga de la Danse - Summer Pop's Art,2021-07-16,2021-07-16,Le Bonheur est dans l'éveil,Parc Exflora ,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-07-16,2021-07-16,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,St Marie Madeleine,2021-07-17,2021-07-17,AS Fontonne Boule + Comité des Fêtes de la Fontonne,Clos Borriglion,,
Antibes,21060004500012,Circuit training - Summer Pop's Art,2021-07-20,2021-07-20,Direction des Sports de la Ville d'Antibes,Stade des Semboules,,
Antibes,21060004500012,Renforcement Musculaire - Summer Pop's Art,2021-07-21,2021-07-21,Direction des Sports de la Ville d'Antibes,Parc Exflora ,,
Antibes,21060004500012,Squash - Summer Pop's Art,2021-07-21,2021-07-21,Topfit Squash,Pré des Pêcheurs ,,
Antibes,21060004500012,Aquagym en mer - Summer Pop's Art,2021-07-21,2021-07-21,Cercle des Nageurs d'Antibes,Plage du ponteil,,
Antibes,21060004500012,Méditation en musique,2021-07-21,2021-07-21,Meditbliss,Base Nautique du Ponteil,,
Antibes,21060004500012,Initiation Saut à la perche - Summer Pop's Art,2021-07-22,2021-07-22,Direction des Sports de la Ville d'Antibes,Stade du Fort Carré,,
Antibes,21060004500012,Salsa Batchata - swing - Danses en ligne Summer Pop's Art,2021-07-23,2021-07-23,Studio Danse 06,Place des Martyrs de la Résistance,,
Antibes,21060004500012,Salsa Cubaine et Batchata Dominiquaine - Summer Pop's Art,2021-07-23,2021-07-23,Somos Latinos ,Place Mariejol,,
Antibes,21060004500012,Initiation Badminton - Summer Pop's Art,2021-07-23,2021-07-23,Badminton Club d'Antibes,Pré des Pêcheurs ,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-07-23,2021-07-23,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Squash - Summer Pop's Art,2021-07-26,2021-07-26,Topfit Squash,Topfit squash,,
Antibes,21060004500012,Pilates - Summer pop's Art,2021-07-27,2021-07-27,Direction des Sports de la Ville d'Antibes,Parc Exflora ,,
Antibes,21060004500012,Squash - Summer Pop's Art,2021-07-28,2021-07-28,Topfit Squash,Pré des Pêcheurs ,,
Antibes,21060004500012,Cuisses Abdos Fessiers - Summer Pop's Art,2021-07-28,2021-07-28,Direction des Sports de la Ville d'Antibes,Stade Nautique d'Antibes,,
Antibes,21060004500012,Aquagym en mer - Summer Pop's Art,2021-07-28,2021-07-28,Cercle des Nageurs d'Antibes,Plage du ponteil,,
Antibes,21060004500012,Méditation en musique,2021-07-28,2021-07-28,Meditbliss,Base Nautique du Ponteil,,
Antibes,21060004500012,Ultimate Frisbee ,2021-07-29,2021-07-29,Direction des Sports de la Ville d'Antibes,Stade Gilbert Auvergne,,
Antibes,21060004500012,Mondial Footvolley,2021-07-30,2021-08-01,Association FootVolley Antibes,Square Gould,,
Antibes,21060004500012,Salsa Cubaine et Batchata Dominiquaine - Summer Pop's Art,2021-07-30,2021-07-30,Somos Latinos ,Place Mariejol,,
Antibes,21060004500012,Shakti Danse - Yoga de la Danse - Summer Pop's Art,2021-07-30,2021-07-30,Le Bonheur est dans l'éveil,Parc Exflora ,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-07-30,2021-07-30,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Tir à l'arc - Summer Pop's Art,2021-08-03,2021-08-03,Direction des Sports de la Ville d'Antibes,Stade des Semboules,,
Antibes,21060004500012,Biodonza - Summer Pop's Art,2021-08-03,2021-08-03,Association Bel Hêtre,Base Nautique du Ponteil,,
Antibes,21060004500012,Circuit training - Summer Pop's Art,2021-08-04,2021-08-04,Direction des Sports de la Ville d'Antibes,Stade Nautique d'Antibes,,
Antibes,21060004500012,Aquagym en mer - Summer Pop's Art,2021-08-04,2021-08-04,Cercle des Nageurs d'Antibes,Plage du ponteil,,
Antibes,21060004500012,Stretching - Summer Pop's Art,2021-08-05,2021-08-05,Direction des Sports de la Ville d'Antibes,Base Nautique du Ponteil,,
Antibes,21060004500012,Rock - Summer Pop's Art,2021-08-05,2021-08-05,LM Danse,Pré des Pêcheurs ,,
Antibes,21060004500012,Salsa Batchata - Summer Pop's Art,2021-08-06,2021-08-06,Somos Latinos ,Place Mariejol,,
Antibes,21060004500012,Shakti Danse - Yoga de la Danse - Summer Pop's Art,2021-08-06,2021-08-06,Le Bonheur est dans l'éveil,Parc Exflora ,,
Antibes,21060004500012,Fit Foot - Summer Pop's Art,2021-08-06,2021-08-06,Jeunesse Sportive de Juan-les-Pins,Pré des Pêcheurs ,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-08-06,2021-08-06,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Pilates - Summer pop's Art,2021-08-10,2021-08-10,Direction des Sports de la Ville d'Antibes,Parc Exflora ,,
Antibes,21060004500012,Biodonza - Summer Pop's Art,2021-08-10,2021-08-10,Association Bel Hêtre,Base Nautique du Ponteil,,
Antibes,21060004500012,Circuit training - Summer Pop's Art,2021-08-11,2021-08-11,Direction des Sports de la Ville d'Antibes,Fort Carré,,
Antibes,21060004500012,Aquagym en mer - Summer Pop's Art,2021-08-11,2021-08-11,Cercle des Nageurs d'Antibes,Plage du ponteil,,
Antibes,21060004500012,Stretching - Summer Pop's Art,2021-08-12,2021-08-12,Direction des Sports de la Ville d'Antibes,Parc Exflora ,,
Antibes,21060004500012,Rock - Summer Pop's Art,2021-08-12,2021-08-12,LM Danse,Pré des Pêcheurs ,,
Antibes,21060004500012,Salsa Batchata - Summer Pop's Art,2021-08-13,2021-08-13,Somos Latinos ,Place Mariejol,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-08-13,2021-08-13,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Squash - Summer Pop's Art,2021-08-16,2021-08-16,Topfit Squash,Pré des Pêcheurs ,,
Antibes,21060004500012,Marche active - Summer Pop's Art,2021-08-17,2021-08-17,Direction des Sports de la Ville d'Antibes,Place Nationale,,
Antibes,21060004500012,Biodonza - Summer Pop's Art,2021-08-17,2021-08-17,Association Bel Hêtre,Base Nautique du Ponteil,,
Antibes,21060004500012,Initiation Saut à la perche - Summer Pop's Art,2021-08-18,2021-08-18,Direction des Sports de la Ville d'Antibes,Fort Carré,,
Antibes,21060004500012,Aquagym en mer - Summer Pop's Art,2021-08-18,2021-08-18,Cercle des Nageurs d'Antibes,Plage du ponteil,,
Antibes,21060004500012,Pétanque - Summer Pop's Art,2021-08-19,2021-08-19,Direction des Sports de la Ville d'Antibes,Base Nautique du Ponteil,,
Antibes,21060004500012,Zumba - Summer Pop's Art,2021-08-19,2021-08-19,Sport et Culture 06,Pinède Gould,,
Antibes,21060004500012,Salsa Batchata - Summer Pop's Art,2021-08-20,2021-08-20,Somos Latinos ,Place Mariejol,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-08-20,2021-08-20,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Salsa Batchata - swing - Danses en ligne Summer Pop's Art,2021-08-20,2021-08-20,Studio Danse 06,Place des Martyrs de la Résistance,,
Antibes,21060004500012,Squash - Summer Pop's Art,2021-08-20,2021-08-20,Topfit Squash,Topfit squash,,
Antibes,21060004500012,Initiation Badminton - Summer Pop's Art,2021-08-20,2021-08-20,Badminton Club d'Antibes,Pré des Pêcheurs ,,
Antibes,21060004500012,Zumba - Summer Pop's Art,2021-08-20,2021-08-20,Pro Vie Danse,Place des Martyrs de la Résistance,,
Antibes,21060004500012,Tournoi Open Jeunes Tennis,2021-08-20,2021-08-27,Tennis Club d'Antibes,Tennis Jules Grec,,
Antibes,21060004500012,Challenge Marc GRILLI ,2021-08-23,2021-08-23,Belles Rives Ski Nautique Club,Ponton du Belles Rives,,
Antibes,21060004500012,Cuisses Abdos fessiers - Summer Pop's Art,2021-08-24,2021-08-24,Direction des Sports de la Ville d'Antibes,Parc Exflora ,,
Antibes,21060004500012,Biodonza - Summer Pop's Art,2021-08-24,2021-08-24,Association Bel Hêtre,Base Nautique du Ponteil,,
Antibes,21060004500012,Aquagym en mer - Summer Pop's Art,2021-08-25,2021-08-25,Cercle des Nageurs d'Antibes,Plage du ponteil,,
Antibes,21060004500012,Beach Volley - Summer Pop's Art,2021-08-25,2021-08-25,Direction des Sports de la Ville d'Antibes,Fort Carré,,
Antibes,21060004500012,Squash - Summer Pop's Art,2021-08-25,2021-08-25,Topfit Squash,Pré des Pêcheurs ,,
Antibes,21060004500012,Ultimate Frisbee ,2021-08-26,2021-08-26,Direction des Sports de la Ville d'Antibes,Fort Carré,,
Antibes,21060004500012,Zumba - Summer Pop's Art,2021-08-26,2021-08-26,Sport et Culture 06,Pinède Gould,,
Antibes,21060004500012,Shakti Danse - Yoga de la Danse - Summer Pop's Art,2021-08-27,2021-08-27,Le Bonheur est dans l'éveil,Parc Exflora ,,
Antibes,21060004500012,Squash - Summer Pop's Art,2021-08-27,2021-08-27,Topfit Squash,Topfit squash,,
Antibes,21060004500012,Salsa Batchata - Summer Pop's Art,2021-08-27,2021-08-27,Somos Latinos ,Place Mariejol,,
Antibes,21060004500012,Salsa Batchata - swing - Danses en ligne Summer Pop's Art,2021-08-27,2021-08-27,Studio Danse 06,Place des Martyrs de la Résistance,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-08-27,2021-08-27,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Arts Vietnamiens - Summer Pop's Art,2021-08-28,2021-08-28,Association Art et Culture d'Asie,Pré des Pêcheurs ,,
Antibes,21060004500012,Nocturne Estivale Pétanque,2021-09-03,2021-09-03,AS Fontonne Boule,Clos Borriglion,,
Antibes,21060004500012,Fête de la Jeunesse et des Sports,2021-09-05,2021-09-05,Direction des Sports de la Ville d'Antibes,Stade du Fort Carré,,
Antibes,21060004500012,Tournoi International Vétérans 2,2021-09-05,2021-09-11,Tennis Club d'Antibes,Tennis Jules Grec,,
Antibes,21060004500012,Jeux de Sophia - Tir à l'arc,2021-09-06,2021-09-28,Sophia Club Entreprises,ZI des 3 Moulins,,
Antibes,21060004500012,Rassemblement + 55 ans ,2021-09-09,2021-09-12,ASF Antibes Hockey,Terrain N°3 de la Fontonne,,
Antibes,21060004500012,Tournoi de Pré-saison U12-U13,2021-09-11,2021-09-11,AS Fontonne Football,Terrain N°1 de la Fontonne,,
Antibes,21060004500012,Match de Leaders Cup ProB 2021-2022,2021-09-17,2021-09-17,Sharks d'Antibes,Azurarena Antibes ,,
Antibes,21060004500012,Tournoi de Pré-saison U12-U13,2021-09-18,2021-09-18,AS Fontonne Football,Terrain N°1 de la Fontonne,,
Antibes,21060004500012,Match de Leaders Cup ProB 2021-2022,2021-09-24,2021-09-24,Sharks d'Antibes,Azurarena Antibes ,,
Antibes,21060004500012,Course aux Points Top Cycle ,2021-09-25,2021-09-25,Olympique Cyclo Club d'Antibes,Cannes La Bocca,,
Antibes,21060004500012,Nuit du Hand  ,2021-09-25,2021-09-25,OAJLP Handball,Salle Saint Claude,,
Antibes,21060004500012,Ti-Plage ,2021-10-02,2021-10-02,BDE Polytech Nice Sophia,Plage du Pont du Lys,,
Antibes,21060004500012,REPORT du 56ème Rallye d'Antibes,2021-10-06,2021-10-09,Association Sportive Automobile;Rallye Antibes Association,Antibes,,
Antibes,21060004500012,Tournoi Beach Rugby,2021-10-09,2021-10-09,Esprit Passion Ovale Skéma Business School,Plage du Pont du Lys,,
Antibes,21060004500012,Régate NAPOLEON ,2021-10-10,2021-10-10,Société des Régates d'Antibes,Port Vauban,,
Antibes,21060004500012,Régate Modèle Réduit VCR-RG65,2021-10-10,2021-10-10,Société des Régates d'Antibes,Base Nautique de la Salis,,
Antibes,21060004500012,42ème COURIR POUR UNE FLEUR,2021-10-16,2021-10-17,Direction des Sports de la Ville d'Antibes,Stade du fort carré,Square Gould de Juan les Pins,Cap d'Antibes
Antibes,21060004500012,2ème journée du championnat de Pro B 2021-2022,2021-10-22,2021-10-22,Sharks d'Antibes,Azurarena Antibes ,,
Antibes,21060004500012,4ème journée du championnat de Pro B 2021-2022,2021-11-05,2021-11-05,Sharks d'Antibes,Azurarena Antibes ,,
Antibes,21060004500012,CROSS Du Poilu ,2021-11-09,2021-11-09,Direction des Sports de la Ville d'Antibes,Stade du Fort Carré,,
Antibes,21060004500012,5ème journée du championnat de Pro B 2021-2022,2021-11-09,2021-11-09,Sharks d'Antibes,Azurarena Antibes ,,
Antibes,21060004500012,CROSS du Fort Carré,2021-11-13,2021-11-13,ERAA,Stade du Fort Carré,,
Antibes,21060004500012,7ème journée du championnat de Pro B 2021-2022,2021-11-19,2021-11-19,Sharks d'Antibes,Azurarena Antibes ,,
Antibes,21060004500012,Tournoi de Footvolley ,2021-11-21,2021-11-21,Association FootVolley Antibes,Terrains de Beach du Fort Carré,,
Antibes,21060004500012,Marathon Nice - Cannes,2021-11-28,2021-11-28,Azur Sport Organisation,Antibes,,
Antibes,21060004500012,Téléthon,2021-12-04,2021-12-04,Direction Animation et Activités Culturelles,Place Nationale,,
Antibes,21060004500012,Azur Contest de skate,2021-12-05,2021-12-05,Azur Skate Board,Stade du Fort Carré,,
Antibes,21060004500012,9ème journée du championnat de Pro B 2021-2022,2021-12-10,2021-12-10,Sharks d'Antibes,Azurarena Antibes ,,
Antibes,21060004500012,Triathlon de la St Sylvestre ,2021-12-12,2021-12-12,Antibes Triathlon ,Pinède Gould,,
Antibes,21060004500012,Hand Ensemble,2021-12-16,2021-12-16,OAJLP Handball,Salle Saint Claude,,
Antibes,21060004500012,Report du Rassemblement UFOLEP ,2021-12-19,2021-12-19,Olympique Cyclo Club d'Antibes,Square Albert 1er,,
Antibes,21060004500012,11ème journée du championnat de Pro B 2021-2022,2021-12-23,2021-12-23,Sharks d'Antibes,Azurarena Antibes ,,
Antibes,21060004500012,Test Selection GAC ELITE,2022-01-14,2022-01-16,,Azurarena Antibes ,,
Antibes,21060004500012,14ème journée du championnat de Pro B 2021-2022,2022-01-21,2022-01-21,Sharks d'Antibes,Azurarena Antibes ,,
Antibes,21060004500012,Test Selection Pole France Trampoline,2022-01-22,2022-01-22,,Azurarena Antibes ,,
